batch_id,strap_id,label,category,material,color,texture,style_slug,hardware_finish,material_rendering,surface_detail,stitching_detail,hardware_visibility,generate_parts,output_slug
batch1,001,Black Smooth Leather,Leather,leather,black,smooth,black-smooth-leather,silver,leather,"subtle natural grain detail","edge stitching","metal buckle visible at the top",buckle|tail,black-smooth-leather
batch1,002,Dark Brown Smooth Leather,Leather,leather,dark brown,smooth,dark-brown-smooth-leather,silver,leather,"subtle natural grain detail","edge stitching","metal buckle visible at the top",buckle|tail,dark-brown-smooth-leather
batch1,003,Cognac Smooth Leather,Leather,leather,cognac,smooth,cognac-smooth-leather,silver,leather,"subtle natural grain detail","edge stitching","metal buckle visible at the top",buckle|tail,cognac-smooth-leather
batch1,004,Black Pebbled Leather,Leather,leather,black,pebbled,black-pebbled-leather,silver,leather,"visible pebble grain detail","edge stitching","metal buckle visible at the top",buckle|tail,black-pebbled-leather
batch1,005,Brown Pebbled Leather,Leather,leather,brown,pebbled,brown-pebbled-leather,silver,leather,"visible pebble grain detail","edge stitching","metal buckle visible at the top",buckle|tail,brown-pebbled-leather
batch1,006,Taupe Pebbled Leather,Leather,leather,taupe,pebbled,taupe-pebbled-leather,silver,leather,"visible pebble grain detail","edge stitching","metal buckle visible at the top",buckle|tail,taupe-pebbled-leather
batch1,007,Black Croc Embossed Leather,Leather,leather,black,croc embossed,black-croc-embossed-leather,silver,embossed leather,"clean croc scale pattern detail","edge stitching","metal buckle visible at the top",buckle|tail,black-croc-embossed-leather
batch1,008,Dark Brown Croc Embossed Leather,Leather,leather,dark brown,croc embossed,dark-brown-croc-embossed-leather,silver,embossed leather,"clean croc scale pattern detail","edge stitching","metal buckle visible at the top",buckle|tail,dark-brown-croc-embossed-leather
batch1,009,Black Rally Leather,Leather,leather,black,rally perforated,black-rally-leather,silver,leather,"clean perforation pattern detail","contrast stitching","metal buckle visible at the top",buckle|tail,black-rally-leather
batch1,010,Honey Brown Rally Leather,Leather,leather,honey brown,rally perforated,honey-brown-rally-leather,silver,leather,"clean perforation pattern detail","contrast stitching","metal buckle visible at the top",buckle|tail,honey-brown-rally-leather
batch1,011,Burgundy Shell Style Leather,Leather,leather,burgundy,glossy smooth,burgundy-shell-style-leather,silver,polished leather,"deep rich color with subtle sheen","edge stitching","metal buckle visible at the top",buckle|tail,burgundy-shell-style-leather
batch1,012,Green Vintage Leather,Leather,leather,olive green,pull-up vintage,green-vintage-leather,silver,aged leather,"soft pull-up texture with tonal variation","edge stitching","metal buckle visible at the top",buckle|tail,green-vintage-leather
batch1,013,Tan Suede,Suede,leather,tan,suede,tan-suede,silver,suede,"fine nap detail","edge stitching","metal buckle visible at the top",buckle|tail,tan-suede
batch1,014,Black Suede,Suede,leather,black,suede,black-suede,silver,suede,"fine nap detail","edge stitching","metal buckle visible at the top",buckle|tail,black-suede
batch1,015,Sand Nubuck,Suede,leather,sand,nubuck,sand-nubuck,silver,nubuck leather,"fine matte surface texture","edge stitching","metal buckle visible at the top",buckle|tail,sand-nubuck
batch1,016,Slate Gray Nubuck,Suede,leather,slate gray,nubuck,slate-gray-nubuck,silver,nubuck leather,"fine matte surface texture","edge stitching","metal buckle visible at the top",buckle|tail,slate-gray-nubuck
batch1,017,Black FKM Rubber,Rubber,rubber,black,smooth matte,black-fkm-rubber,silver,premium FKM rubber,"clean matte finish detail","edge channel lines","metal buckle visible at the top",buckle|tail,black-fkm-rubber
batch1,018,Navy FKM Rubber,Rubber,rubber,navy,smooth matte,navy-fkm-rubber,silver,premium FKM rubber,"clean matte finish detail","edge channel lines","metal buckle visible at the top",buckle|tail,navy-fkm-rubber
batch1,019,Olive Textured Rubber,Rubber,rubber,olive,textured,olive-textured-rubber,silver,premium rubber,"subtle surface pattern detail","edge lines","metal buckle visible at the top",buckle|tail,olive-textured-rubber
batch1,020,Orange Tropical Rubber,Rubber,rubber,orange,tropical perforated,orange-tropical-rubber,silver,premium rubber,"vented tropical surface pattern detail","edge lines","metal buckle visible at the top",buckle|tail,orange-tropical-rubber
batch1,021,White Integrated Rubber,Rubber,rubber,white,smooth integrated,white-integrated-rubber,silver,premium rubber,"clean integrated sport strap surface","edge lines","metal buckle visible at the top",buckle|tail,white-integrated-rubber
batch1,022,Black Waffle Rubber,Rubber,rubber,black,waffle textured,black-waffle-rubber,silver,premium rubber,"waffle surface texture detail","edge lines","metal buckle visible at the top",buckle|tail,black-waffle-rubber
batch1,023,Olive NATO,Fabric,fabric,olive,woven nato,olive-nato,silver,woven fabric,"tight woven fabric texture","minimal stitch detail","keeper hardware and buckle visible at the top",buckle|tail,olive-nato
batch1,024,Black NATO,Fabric,fabric,black,woven nato,black-nato,silver,woven fabric,"tight woven fabric texture","minimal stitch detail","keeper hardware and buckle visible at the top",buckle|tail,black-nato
batch1,025,Gray Canvas,Fabric,fabric,gray,canvas,gray-canvas,silver,canvas,"clean canvas weave detail","clean stitch detail","metal buckle visible at the top",buckle|tail,gray-canvas
batch1,026,Navy Sailcloth,Fabric,fabric,navy,sailcloth,navy-sailcloth,silver,sailcloth,"subtle sailcloth weave detail","clean stitch detail","metal buckle visible at the top",buckle|tail,navy-sailcloth
batch1,027,Brushed Steel Oyster Bracelet,Metal,metal,steel,brushed oyster link,brushed-steel-oyster-bracelet,steel,brushed metal,"clean bracelet link brushing detail","no stitching","clasp hardware visible at the top",buckle|tail,brushed-steel-oyster-bracelet
