slug,label,category,color_desc,stitch_desc
dark-brown-pebbled-leather,Dark Brown Pebbled Leather,Leather,espresso brown pebbled leather,tonal stitching
cognac-pebbled-leather,Cognac Pebbled Leather,Leather,rich cognac pebbled leather,tonal stitching
navy-pebbled-leather,Navy Pebbled Leather,Leather,rich navy pebbled leather,tonal stitching
olive-pebbled-leather,Olive Pebbled Leather,Leather,muted olive pebbled leather,tonal stitching
taupe-pebbled-leather,Taupe Pebbled Leather,Leather,warm taupe pebbled leather,slightly darker stitching
black-sailcloth,Black Sailcloth,Fabric,deep black sailcloth fabric,black stitching
navy-sailcloth,Navy Sailcloth,Fabric,rich navy sailcloth fabric,tonal stitching
olive-sailcloth,Olive Sailcloth,Fabric,muted olive sailcloth fabric,tonal stitching
gray-sailcloth,Gray Sailcloth,Fabric,charcoal gray sailcloth fabric,tonal stitching
orange-tropic-rubber,Orange Tropic Rubber,Rubber,bright orange vulcanized rubber,no stitching
navy-tropic-rubber,Navy Tropic Rubber,Rubber,deep navy vulcanized rubber,no stitching
