category,slug,name,part,prompt_file,output_file
leather,bourbon-pullup-leather,Bourbon Pull-Up Leather,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/bourbon-pullup-leather-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/bourbon-pullup-leather-part-a.png
leather,bourbon-pullup-leather,Bourbon Pull-Up Leather,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/bourbon-pullup-leather-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/bourbon-pullup-leather-part-b.png
leather,taupe-nubuck-leather,Taupe Nubuck Leather,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/taupe-nubuck-leather-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/taupe-nubuck-leather-part-a.png
leather,taupe-nubuck-leather,Taupe Nubuck Leather,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/taupe-nubuck-leather-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/taupe-nubuck-leather-part-b.png
leather,oxblood-pebbled-leather,Oxblood Pebbled Leather,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/oxblood-pebbled-leather-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/oxblood-pebbled-leather-part-a.png
leather,oxblood-pebbled-leather,Oxblood Pebbled Leather,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/oxblood-pebbled-leather-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/oxblood-pebbled-leather-part-b.png
leather,forest-calf-leather,Forest Calf Leather,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/forest-calf-leather-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/forest-calf-leather-part-a.png
leather,forest-calf-leather,Forest Calf Leather,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/forest-calf-leather-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/forest-calf-leather-part-b.png
leather,slate-saffiano-leather,Slate Saffiano Leather,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/slate-saffiano-leather-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/slate-saffiano-leather-part-a.png
leather,slate-saffiano-leather,Slate Saffiano Leather,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/slate-saffiano-leather-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/slate-saffiano-leather-part-b.png
nato,olive-seatbelt-nato,Olive Seatbelt NATO,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/olive-seatbelt-nato-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/olive-seatbelt-nato-part-a.png
nato,olive-seatbelt-nato,Olive Seatbelt NATO,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/olive-seatbelt-nato-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/olive-seatbelt-nato-part-b.png
nato,navy-bond-nato,Navy Bond NATO,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/navy-bond-nato-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/navy-bond-nato-part-a.png
nato,navy-bond-nato,Navy Bond NATO,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/navy-bond-nato-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/navy-bond-nato-part-b.png
nato,sand-stripe-nato,Sand Stripe NATO,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/sand-stripe-nato-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/sand-stripe-nato-part-a.png
nato,sand-stripe-nato,Sand Stripe NATO,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/sand-stripe-nato-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/sand-stripe-nato-part-b.png
nato,charcoal-seatbelt-nato,Charcoal Seatbelt NATO,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/charcoal-seatbelt-nato-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/charcoal-seatbelt-nato-part-a.png
nato,charcoal-seatbelt-nato,Charcoal Seatbelt NATO,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/charcoal-seatbelt-nato-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/charcoal-seatbelt-nato-part-b.png
nato,burgundy-navy-nato,Burgundy Navy NATO,part-a,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/burgundy-navy-nato-part-a.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/burgundy-navy-nato-part-a.png
nato,burgundy-navy-nato,Burgundy Navy NATO,part-b,/Users/sakaarpuri/Pictures/Watchsrap app/prompts/straps/batch-boutique-10/burgundy-navy-nato-part-b.json,/Users/sakaarpuri/Pictures/Watchsrap app/images/straps/batch-boutique-10/burgundy-navy-nato-part-b.png
