slug,label,color_desc,stitch_desc
black,Black,deep black smooth leather,black stitching
dark-brown,Dark Brown,espresso brown smooth leather,tonal stitching
tan,Tan,classic tan smooth leather,cream stitching
navy,Navy,rich navy smooth leather,tonal stitching
olive,Olive,muted olive smooth leather,tonal stitching
gray,Gray,charcoal gray smooth leather,tonal stitching
burgundy,Burgundy,deep burgundy smooth leather,tonal stitching
beige,Beige,warm beige smooth leather,slightly darker stitching
cognac,Cognac,rich cognac smooth leather,tonal stitching
chocolate,Chocolate,dark chocolate smooth leather,tonal stitching
